Hamad International Airport,Doha,Qatar,DOH,25.2705,51.6048
Tokyo International Airport (Haneda),Tokyo,Japan,HND,35.5533333333,139.781111111
Singapore Changi Airport,Singapore,Singapore,SIN,1.359167,103.989441
Narita International Airport,Narita,Japan,NRT,35.771987,140.392850
Incheon International Airport,Incheon,South Korea,ICN,37.460191,126.440696
Paris Charles de Gaulle Airport,Roissy-en-France,France,CDG,49.0128,2.55
Munich Airport,Munich,Germany,MUC,48.353662,11.775028
Istanbul Airport,Istanbul,Turkey,IST,41.276901,28.729324
Zurich Airport,Zurich,Switzerland,ZRH,47.451542,8.564572
Dallas/Fort Worth International Airport,Dallas,United States,DFW,32.8998,-97.0403
Guangzhou Baiyun International Airport,Guangzhou,China,CAN,23.3959,113.308
Istanbul Airport,Istanbul,Turkey,IST,41.2753,28.7519
Jakarta Soekarno-Hatta International Airport,Jakarta,Indonesia,CGK,-6.1256,106.6558
Singapore Changi Airport,Singapore,Singapore,SIN,1.3644,103.9915
Seoul Incheon International Airport,Incheon,South Korea,ICN,37.4691,126.4505
Denver International Airport,Denver,United States,DEN,39.8561,-104.6737
Suvarnabhumi Airport,Bangkok,Thailand,BKK,13.6811,100.7472
Kansai International Airport,Izumisano,Japan,KIX,34.4276,135.2441
Hong Kong International Airport,Hong Kong,Hong Kong,HKG,22.3080,113.9185
Benito Juárez International Airport,Mexico City,Mexico,MEX,19.4363,-99.0721
